code,year,region
142233,1980,神池县
142234,1980,宁武县
142234,1982,偏关县
142300,1980,晋中地区
142300,1982,吕梁地区
142301,1992,孝义市
142301,1980,榆次市
142302,1996,离石市
142303,1996,汾阳市
142321,1982,汾阳县
142321,1980,榆次县
142322,1980,寿阳县
142322,1982,文水县
142323,1982,交城县
142323,1980,盂县
142324,1980,平定县
142324,1982,孝义县
142325,1980,昔阳县
142325,1982,兴县
142326,1980,和顺县
142326,1982,临县
142327,1982,柳林县
142327,1980,左权县
142328,1982,石楼县
142328,1980,榆社县
142329,1982,岚县
142329,1980,太谷县
142330,1982,方山县
142330,1980,祁县
142331,1982,离石县
142331,1980,平遥县
142332,1980,介休县
142332,1982,中阳县
142333,1982,交口县
142333,1980,灵石县
142400,1982,晋中地区
142400,1980,吕梁地区
142401,1982,榆次市
142402,1992,介休市
142421,1980,离石县
142421,1982,榆社县
142422,1980,孝义县
142422,1982,左权县
142423,1982,和顺县
142423,1980,兴县
142424,1980,交口县
142424,1982,昔阳县
142425,1980,方山县
142425,1982,平定县
142426,1980,石楼县
142426,1982,盂县
142427,1980,岚县
142427,1982,寿阳县
142428,1982,榆次县
142428,1980,中阳县
142429,1980,交城县
142429,1982,太谷县
142430,1980,临县
142430,1982,祁县
142431,1982,平遥县
142431,1980,文水县
142432,1982,介休县
142432,1980,柳林县
142433,1980,汾阳县
142433,1982,灵石县
142500,1980,晋东南地区
142501,1983,晋城市
142521,1980,长治县
142522,1980,潞城县
142523,1982,屯留县
142523,1980,襄垣县
142524,1980,武乡县
142524,1982,长子县
142525,1980,黎城县
142525,1982,沁水县
142526,1980,平顺县
142526,1982,阳城县
142527,1980,壶关县
142527,1982,晋城县
142528,1982,高平县
142528,1980,陵川县
142529,1980,高平县
142529,1982,陵川县
142530,1982,壶关县
142530,1980,晋城县
142531,1982,平顺县
142531,1980,阳城县
142532,1982,黎城县
142532,1980,沁水县
142533,1982,武乡县
142533,1980,长子县
142534,1980,屯留县
142534,1982,襄垣县
142535,1982,沁县
142535,1980,沁源县
142536,1980,沁县
142536,1982,沁源县
142600,1980,临汾地区
142601,1980,临汾市
142602,1980,侯马市
142603,1989,霍州市
142621,1980,临汾县
142621,1982,曲沃县
142622,1980,隰县
142622,1982,翼城县
142623,1980,汾西县
142623,1982,襄汾县
142624,1982,临汾县
142624,1980,永和县
142625,1980,安泽县
142625,1982,洪洞县
142626,1980,洪洞县
142626,1982,霍县
142627,1980,古县
142628,1982,安泽县
142628,1980,霍县
142629,1982,浮山县
142629,1980,翼城县
142630,1980,浮山县
142630,1982,吉县
142631,1980,曲沃县
142631,1982,乡宁县
142632,1982,蒲县
142632,1980,襄汾县
142633,1982,大宁县
142633,1980,吉县
142634,1980,乡宁县
142634,1982,永和县
142635,1980,大宁县
142635,1982,隰县
142636,1982,汾西县
142636,1980,蒲县
142700,1980,运城地区
142701,1983,运城市
142702,1994,永济市
142703,1994,河津市
142721,1980,运城县
142722,1980,夏县
142722,1982,永济县
142723,1982,芮城县
142723,1980,闻喜县
142724,1980,绛县
142724,1982,临猗县
142725,1982,万荣县
142725,1980,垣曲县
142726,1980,平陆县
142726,1982,新绛县
142727,1982,稷山县
142727,1980,芮城县
142728,1982,河津县
142728,1980,永济县
142729,1980,临猗县
142729,1982,闻喜县
142730,1980,万荣县
142730,1982,夏县
142731,1982,绛县
142731,1980,新绛县
142732,1980,稷山县
142732,1982,平陆县
142733,1980,河津县
142733,1982,垣曲县
149001,1988,古交市
149002,1993,高平市
149003,1994,潞城市
150000,1980,内蒙古自治区
150100,1980,呼和浩特市
150102,1980,新城区
150103,1980,回民区
150104,1980,玉泉区
150105,1980,郊区
150105,2000,赛罕区
150121,1980,土默特左旗
150122,1980,托克托县
150123,1995,和林格尔县
150124,1995,清水河县
150125,1996,武川县
150200,1980,包头市
150202,1980,东河区
150203,1980,昆都仑区
150204,1980,青山区
150205,1980,石拐矿区
150205,1999,石拐区
150206,2007,白云鄂博矿区
150206,1980,白云矿区
150207,1980,郊区
150207,1999,九原区
150221,1980,土默特右旗
150222,1980,固阳县
150223,1996,达尔罕茂明安联合旗
150300,1980,乌海市
150302,1980,海勃湾区
150303,1980,海南区
150304,1980,乌达区
150400,1983,赤峰市
150402,1983,红山区
150403,1983,元宝山区
150404,1983,郊区
150404,1993,松山区
150421,1983,阿鲁科尔沁旗
150422,1983,巴林左旗
150423,1983,巴林右旗
150424,1983,林西县
150425,1983,克什克腾旗
150426,1983,翁牛特旗
150428,1983,喀喇沁旗
150429,1983,宁城县
150430,1983,敖汉旗
150500,1999,通辽市
150502,1999,科尔沁区
150521,1999,科尔沁左翼中旗
150522,1999,科尔沁左翼后旗
150523,1999,开鲁县
150524,1999,库伦旗
150525,1999,奈曼旗
150526,1999,扎鲁特旗
150581,1999,霍林郭勒市
150600,2001,鄂尔多斯市
150602,2001,东胜区
150603,2016,康巴什区
150621,2001,达拉特旗
150622,2001,准格尔旗
150623,2001,鄂托克前旗
150624,2001,鄂托克旗
150625,2001,杭锦旗
150626,2001,乌审旗
150627,2001,伊金霍洛旗
150700,2001,呼伦贝尔市
150702,2001,海拉尔区
150703,2013,扎赉诺尔区
150721,2001,阿荣旗
150722,2001,莫力达瓦达斡尔族自治旗
150723,2001,鄂伦春自治旗
150724,2001,鄂温克族自治旗
150725,2001,陈巴尔虎旗
150726,2001,新巴尔虎左旗
150727,2001,新巴尔虎右旗
150781,2001,满洲里市
150782,2001,牙克石市
150783,2001,扎兰屯市
150784,2001,额尔古纳市
150785,2001,根河市
150800,2003,巴彦淖尔市
150802,2003,临河区
150821,2003,五原县
150822,2003,磴口县
150823,2003,乌拉特前旗
150824,2003,乌拉特中旗
150825,2003,乌拉特后旗
150826,2003,杭锦后旗
150900,2003,乌兰察布市
150902,2003,集宁区
150921,2003,卓资县
150922,2003,化德县
150923,2003,商都县
150924,2003,兴和县
150925,2003,凉城县
150926,2003,察哈尔右翼前旗
150927,2003,察哈尔右翼中旗
150928,2003,察哈尔右翼后旗
150929,2003,四子王旗
150981,2003,丰镇市
152100,1980,呼伦贝尔盟
152101,1980,海拉尔市
152102,1980,满洲里市
152103,1983,扎兰屯市
152104,1983,牙克石市
152105,1994,根河市
152106,1994,额尔古纳市
152121,1980,布特哈旗
152122,1980,阿荣旗
152123,1980,莫力达瓦达斡尔族自治旗
152124,1980,喜桂图旗
152125,1980,额尔古纳右旗
152126,1980,额尔古纳左旗
152127,1980,鄂伦春自治旗
152128,1980,鄂温克族自治旗
152129,1980,新巴尔虎右旗
152130,1980,新巴尔虎左旗
152131,1980,陈巴尔虎旗
152200,1980,兴安盟
152201,1980,乌兰浩特市
152202,1996,阿尔山市
152221,1980,科尔沁右翼前旗
152222,1980,科尔沁右翼中旗
152223,1980,扎赉特旗
152224,1980,突泉县
152300,1980,哲里木盟
152301,1980,通辽市
152302,1985,霍林郭勒市
152321,1980,通辽县
152322,1980,科尔沁左翼中旗
152323,1980,科尔沁左翼后旗
152324,1980,开鲁县
152325,1980,库伦旗
152326,1980,奈曼旗
152327,1980,扎鲁特旗
152400,1980,昭乌达盟
152401,1980,赤峰市
152421,1982,阿鲁科尔沁旗
152421,1980,赤峰县
152422,1980,巴林左旗
152423,1980,巴林右旗
152424,1980,林西县
152425,1980,克什克腾旗
152426,1980,翁牛特旗
152427,1982,赤峰县
152428,1980,喀喇沁旗
152429,1980,宁城县
152430,1980,敖汉旗
152431,1980,阿鲁科尔沁旗
152500,1982,锡林郭勒盟
152500,1980,伊克昭盟
152501,1982,二连浩特市
152502,1983,锡林浩特市
152521,1982,阿巴哈纳尔旗
152521,1980,东胜县
152522,1982,阿巴嘎旗
152522,1980,达拉特旗
152523,1982,苏尼特左旗
152523,1980,准格尔旗
152524,1980,鄂托克前旗
152524,1982,苏尼特右旗
152525,1982,东乌珠穆沁旗
152525,1980,鄂托克旗
152526,1980,杭锦旗
152526,1982,西乌珠穆沁旗
152527,1982,太仆寺旗
152527,1980,乌审旗
152528,1982,镶黄旗
152528,1980,伊金霍洛旗
152529,1982,正镶白旗
152530,1982,正蓝旗
152531,1982,多伦县
152600,1982,乌兰察布盟
152600,1980,锡林郭勒盟
152601,1980,二连浩特市
152601,1982,集宁市
152602,1990,丰镇市
152621,1980,阿巴哈纳尔旗
152621,1982,武川县
152622,1980,阿巴嘎旗
152622,1982,和林格尔县
152623,1982,清水河县
152623,1980,苏尼特左旗
152624,1980,苏尼特右旗
152624,1982,卓资县
152625,1980,东乌珠穆沁旗
152625,1982,化德县
152626,1982,商都县
152626,1980,西乌珠穆沁旗
152627,1980,太仆寺旗
152627,1982,兴和县
152628,1982,丰镇县
152628,1980,镶黄旗
152629,1982,凉城县
152629,1980,正镶白旗
152630,1982,察哈尔右翼前旗
152630,1980,正蓝旗
152631,1982,察哈尔右翼中旗
152631,1980,多伦县
152632,1982,察哈尔右翼后旗
152633,1982,达尔罕茂明安联合旗
152634,1982,四子王旗
152700,1980,巴彦淖尔盟
152700,1982,伊克昭盟
152701,1983,东胜市
152721,1982,东胜县
152721,1980,临河县
152722,1982,达拉特旗
152722,1980,五原县
152723,1980,磴口县
152723,1982,准格尔旗
152724,1982,鄂托克前旗
152724,1980,乌拉特前旗
152725,1982,鄂托克旗
152725,1980,乌拉特中后联合旗
152725,1981,乌拉特中旗
152726,1980,杭锦后旗
152726,1982,杭锦旗
152727,1980,潮格旗
152727,1981,乌拉特后旗
152727,1982,乌审旗
152728,1982,伊金霍洛旗
152800,1982,巴彦淖尔盟
152800,1980,乌兰察布盟
152801,1980,集宁市
152801,1984,临河市
152821,1982,临河县
152821,1980,武川县
152822,1980,和林格尔县
152822,1982,五原县
152823,1982,磴口县
152823,1980,清水河县
152824,1982,乌拉特前旗
152824,1980,卓资县
152825,1980,化德县
152825,1982,乌拉特中旗
152826,1980,商都县
152826,1982,乌拉特后旗
152827,1982,杭锦后旗
152827,1980,兴和县
152828,1980,丰镇县
152829,1980,凉城县
152830,1980,察哈尔右翼前旗
